,id,sentence,subject_entity,object_entity,label,annotator,pair,label_,label_num
0,이승만3_143,12월 20일 유엔 한국 임시위원단을 맞이할 한국민족대표단에서 이승만과 김구가 공동고문으로 추대되었다.,"{'word': '김구', 'start_idx': 40, 'end_idx': 41, 'entity_type': 'PER'}","{'word': '12월 20일', 'start_idx': 0, 'end_idx': 6, 'entity_type': 'DAT'}",per:inauguration/removal_date,정준녕,"('김구', '12월 20일')",per:inauguration/removal_date,6
1,대한민국4_16,"국채 보상 운동이 자발적으로 확산되었고 1920년대에는 김성수는 자본을 투자하여 경성방직, 경성직류 등 방직과 면 공업을 육성하여 민족자본을 형성하기도 하였다.","{'word': '김성수', 'start_idx': 31, 'end_idx': 33, 'entity_type': 'PER'}","{'word': '1920년', 'start_idx': 22, 'end_idx': 26, 'entity_type': 'DAT'}",no_relation,정준녕,"('김성수', '1920년')",no_relation,1
2,대한민국1_53,백두산에는 시베리아나 만주에서만 볼 수 있는 침엽수림과 같은 북방계 식물류가 자란다.,"{'word': '시베리아', 'start_idx': 6, 'end_idx': 9, 'entity_type': 'LOC'}","{'word': '백두산', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'LOC'}",no_relation,이원재,"('시베리아', '백두산')",no_relation,1
3,문재인_68,"6월 15일 새 총리 후보로 문창극이 지명되자 ""국민도 불행하고 박근혜 정부에도 불행한 길""이라고 강력히 비판했다.","{'word': '문창극', 'start_idx': 16, 'end_idx': 18, 'entity_type': 'PER'}","{'word': '총리 후보', 'start_idx': 9, 'end_idx': 13, 'entity_type': 'POH'}",per:title,이원재,"('문창극', '총리 후보')",per:title,5
4,대한민국2_48,"2016년 제20대 총선에서 여소야대 국면에 처하면서 정치적 난관에 처한 박근혜 정부는, 같은해 10월 민간인 신분인 최순실 씨의 국정 농단 사태가 폭로됨에 따라 박근혜 대통령 퇴진 운동이 시작되었고, 국회가 박근혜 대통령 탄핵 소추안을 가결시키며 박근혜 대통령의 권한이 정지, 황교안 대통령 권한대행 체제가 확립되었다.","{'word': '황교안', 'start_idx': 156, 'end_idx': 158, 'entity_type': 'PER'}","{'word': '박근혜', 'start_idx': 139, 'end_idx': 141, 'entity_type': 'PER'}",no_relation,이정아,"('황교안', '박근혜')",no_relation,1
5,이승만3_184,"이승만은 친히 김포비행장으로 나가 김구, 김규식 등 환국 요인들을 영접하였다.","{'word': '이승만', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'PER'}","{'word': '김규식', 'start_idx': 23, 'end_idx': 25, 'entity_type': 'PER'}",no_relation,정준녕,"('이승만', '김규식')",no_relation,1
6,한반도_56,"북쪽으로는 요동반도와 평행한 방향으로 뻗은 평남 분지, 두만 분지, 관모봉 분지, 단천 습곡대, 낭림 분지가 펼쳐지며, 남쪽으로는 옥천대(沃川帶)를 사이에 두고 경기 육괴, 영남 육괴와 경상 분지로 이루어진다.","{'word': '관모봉 분지', 'start_idx': 38, 'end_idx': 43, 'entity_type': 'LOC'}","{'word': '평남 분지', 'start_idx': 24, 'end_idx': 28, 'entity_type': 'LOC'}",no_relation,김별희,"('관모봉 분지', '평남 분지')",no_relation,1
7,박정희_59,"또한 만주신문 자료에는 박정희의 군관지원 편지와 함께 一死以テ御奉公 朴正熙(이시이 테 오호코, 또는 일사이 테 어봉공, 박정희)라고 쓰여있는 혈서 내용이 함께 동봉되어 있었다고 기록한다.","{'word': '박정희', 'start_idx': 13, 'end_idx': 15, 'entity_type': 'PER'}","{'word': '만주신문', 'start_idx': 3, 'end_idx': 6, 'entity_type': 'ORG'}",no_relation,이정아,"('박정희', '만주신문')",no_relation,1
8,정부_0,"독일의 포르슈토프(Forstoff) 교수는 행정은 추사(beschreiben)할 수 있지만, 정의(定義, definieren)는 할 수 없다고 하였다.","{'word': '포르슈토프', 'start_idx': 4, 'end_idx': 8, 'entity_type': 'PER'}","{'word': '교수', 'start_idx': 20, 'end_idx': 21, 'entity_type': 'POH'}",per:title,정준녕,"('포르슈토프', '교수')",per:title,5
9,이승만3_192,"윤보선의 사회로 시작되어 오세창의 개회사, 이인의 봉영문 낭독, 권동진의 만세삼창이 이어진 뒤 봉영문은 권동진, 김성수, 이인을 통해 김구에게 전달되었다.","{'word': '윤보선', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'PER'}","{'word': '김구', 'start_idx': 75, 'end_idx': 76, 'entity_type': 'PER'}",no_relation,정준녕,"('윤보선', '김구')",no_relation,1
10,한반도_23,"지금까지 실시된 대규모 간척사업 중 대표적인 것은 전북 군산시(舊옥구군) 일대, 부안군 계화도(界火島) 일대, 전남 진도의 소포리(素浦里) 일대 등지에서 완공된 것들이다.","{'word': '전북', 'start_idx': 28, 'end_idx': 29, 'entity_type': 'LOC'}","{'word': '군산시', 'start_idx': 31, 'end_idx': 33, 'entity_type': 'LOC'}",loc:subordinate,김별희,"('전북', '군산시')",loc:subordinate,8
11,박정희_63,"그리고 1962년 7월 14일, 개인재산을 기부하여 장학재단인 5·16 장학회를 설립 하였다고 ‘박정희 기념사업회’는 밝히고 있으나 ‘국가정보원 과거사건 진실규명을 통한 발전위원회’가 밝힌 바에 의하면, 당시 국가재건최고회의 의장이었던 박정희가 중앙정보부에 지시하여 '부정축재처리요강'에 의해 이병철 등 기업인 15명과 함께 구속되어 있던 부산 지역의 재력가 김지태(金智泰)를 석방하는 조건으로 부산일보, 한국문화방송, 부산문화방송의 주식과 부일장학회 기본재산 명목의 토지 100,147평을 헌납토록 하였고, 이 재산 중 토지는 국방부에 무상으로 양도하였으며 이후 ""기부받은 재산이 자꾸 유실된다""는 보고를 받고 법무부 장관 고원증에게 장학회의 설립을 지시하여 5·16 장학회를 설립했다.","{'word': '김지태', 'start_idx': 201, 'end_idx': 203, 'entity_type': 'PER'}","{'word': '부산일보', 'start_idx': 221, 'end_idx': 224, 'entity_type': 'ORG'}",no_relation,이정아,"('김지태', '부산일보')",no_relation,1
12,문재인_136,다음날 후임으로 윤석열이 대통령으로 취임했다.,"{'word': '윤석열', 'start_idx': 9, 'end_idx': 11, 'entity_type': 'PER'}","{'word': '대통령', 'start_idx': 14, 'end_idx': 16, 'entity_type': 'POH'}",per:title,이원재,"('윤석열', '대통령')",per:title,5
13,윤석열_30,서울대학교 출신으로는 김영삼 대통령 이후 두 번째이다.,"{'word': '김영삼', 'start_idx': 12, 'end_idx': 14, 'entity_type': 'PER'}","{'word': '대통령', 'start_idx': 16, 'end_idx': 18, 'entity_type': 'POH'}",per:title,정준녕,"('김영삼', '대통령')",per:title,5
14,박정희_72,"박정희가 1938년 5월 중순에 편지를 보냈고, 보름 정도의 운송기간 뒤 만주지역의 신문에 박정희 이야기가 실렸다면, 같은해 5월 또는 6월, 길게 잡아도 7월 초에는 도착했을 시간이다.","{'word': '박정희', 'start_idx': 51, 'end_idx': 53, 'entity_type': 'PER'}","{'word': '만주지역', 'start_idx': 41, 'end_idx': 44, 'entity_type': 'LOC'}",no_relation,이정아,"('박정희', '만주지역')",no_relation,1
15,윤석열_8,"윤석열(尹錫悅, 윤서결, 1960년 12월 18일~)은 대한민국의 제20대 대통령이다.","{'word': '윤석열', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'PER'}","{'word': '대한민국의 제20대 대통령', 'start_idx': 31, 'end_idx': 44, 'entity_type': 'POH'}",per:title,정준녕,"('윤석열', '대한민국의 제20대 대통령')",per:origin,7
16,박근혜2_11,"전태일의 여동생이자 민주통합당 국회의원인 전순옥은 진정으로 전태일 정신을 생각한다면 쌍용차나 용산참사 희생자 등 고통 당하는 사람들을 먼저 찾았어야 한다고 말하고, 이른바 국민대통합에 대해서도, 정책적으로 접근을 하거나 현안이 일어나는 현장을 먼저 찾아가 문제를 어떻게 해결할 것인가를 이야기하며 희망을 줘야 한다고 말했다.","{'word': '전순옥', 'start_idx': 23, 'end_idx': 25, 'entity_type': 'PER'}","{'word': '민주통합당 국회의원', 'start_idx': 11, 'end_idx': 20, 'entity_type': 'POH'}",per:title,김별희,"('전순옥', '민주통합당 국회의원')",per:employee_of,3
17,윤석열_5,수사 도중 국가정보원 직원들의 대대적인 트위터 활동과 관련한 결정적인 증거를 포착하고 국가정보원 직원들에 대한 체포와 압수수색을 집행하였는데 서울중앙지방검찰청 조영곤 검사장에게 보고했지만 동의받지 못하자 자신의 책임으로 체포를 강행하였다.,"{'word': '조영곤', 'start_idx': 89, 'end_idx': 91, 'entity_type': 'PER'}","{'word': '서울중앙지방검찰청', 'start_idx': 79, 'end_idx': 87, 'entity_type': 'ORG'}",per:employee_of,정준녕,"('조영곤', '서울중앙지방검찰청')",per:employee_of,3
18,이승만3_314,"한편 1월 16일 서울로부터 '전국학련 산하의 학생들이 1월 18일 반탁데모를 전개시키고자 계획하고 있다'는 전보를 받은 이승만은 ""조선에는 여하한 데모도 전개되지 않아야 한다.","{'word': '이승만', 'start_idx': 68, 'end_idx': 70, 'entity_type': 'PER'}","{'word': '1월 18일', 'start_idx': 31, 'end_idx': 36, 'entity_type': 'DAT'}",no_relation,정준녕,"('이승만', '1월 18일')",no_relation,1
19,대한민국4_28,"한편, 보수 기독교단체에서 ""동성애가 합법화되면 동성애자를 욕해도 처벌받는다거나 동성애자 부부에 대해 주례를 거부한 이유로 처벌받을 수 있다""라고 주장하며 제17대 국회에서부터 대한민국 차별금지법 제정에 대한 반대를 예배나 각종 집회를 통해 선동하였고 또, 자유한국당 안상수 의원은 2019년 11월 ""국가인권위원회법에서 정한 차별금지 대상에서 성적 취향을 제외하자""는 개정안을 발의하며 논란을 낳았다.","{'word': '안상수', 'start_idx': 150, 'end_idx': 152, 'entity_type': 'PER'}","{'word': '2019년 11월', 'start_idx': 158, 'end_idx': 166, 'entity_type': 'DAT'}",no_relation,정준녕,"('안상수', '2019년 11월')",no_relation,1
20,대한민국3_20,그러나 이러한 관계는 1905년 을사조약 뒤부터 뒤틀어졌는데 당시 미국 제26대 대통령 시어도어 루스벨트의 딸인 엘리스 루스벨트가 미국을 대표하여 대한제국에 방문했을 때 고종의 환대에도 없는 사람 취급하였고 고종의 아내였던 명성황후 무덤 앞의 말 조각상에서 앉아 사진을 찍는 무례함을 범했기 때문이다.,"{'word': '을사조약', 'start_idx': 18, 'end_idx': 21, 'entity_type': 'EVT'}","{'word': '1905년', 'start_idx': 12, 'end_idx': 16, 'entity_type': 'DAT'}",event/artifact:date,김별희,"('을사조약', '1905년')",event/artifact:date,9
21,대한민국5_6,"대표적인 K-POP 가수로는 보아, 동방신기, 슈퍼주니어, 소녀시대, 샤이니, 비스트, 티아라, 인피니트, 방탄소년단, 핑클 등이 있다.","{'word': '동방신기', 'start_idx': 20, 'end_idx': 23, 'entity_type': 'PER'}","{'word': '가수', 'start_idx': 11, 'end_idx': 12, 'entity_type': 'POH'}",per:title,임성근,"('동방신기', '가수')",per:title,5
22,문재인_210,문재인 측은 국가정보원에서 자신을 비방하는 여론조작을 벌인다고 12월 11일 공개하였다.,"{'word': '문재인', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'PER'}","{'word': '국가정보원', 'start_idx': 7, 'end_idx': 11, 'entity_type': 'ORG'}",no_relation,이원재,"('문재인', '국가정보원')",no_relation,1
23,문재인_235,"국정원장으로는 서훈이, 청와대 경호실장으로는 주영훈이 내정되었다.","{'word': '서훈', 'start_idx': 8, 'end_idx': 9, 'entity_type': 'PER'}","{'word': '국정원장', 'start_idx': 0, 'end_idx': 3, 'entity_type': 'POH'}",no_relation,이원재,"('서훈', '국정원장')",per:title,5
24,문재인_236,"국정원장으로는 서훈이, 청와대 경호실장으로는 주영훈이 내정되었다.","{'word': '주영훈', 'start_idx': 25, 'end_idx': 27, 'entity_type': 'PER'}","{'word': '청와대 경호실장', 'start_idx': 13, 'end_idx': 20, 'entity_type': 'POH'}",no_relation,이원재,"('주영훈', '청와대 경호실장')",per:title,5
25,문재인_116,"또한 백운규 산업통상자원부 장관은 탈원전 정책으로, 김영주 고용노동부 장관은 '고용 쇼크'로 논란을 빚었다.","{'word': '백운규', 'start_idx': 3, 'end_idx': 5, 'entity_type': 'PER'}","{'word': '산업통상자원부 장관', 'start_idx': 7, 'end_idx': 16, 'entity_type': 'POH'}",per:title,이원재,"('백운규', '산업통상자원부 장관')",per:title,5
