id,sentence,subject_entity,object_entity,label
이승만3_65,"이승만이 임정법통론을 일시보류한데다가 4월 29일 임시정부 주석 취임까지 거부하자 급기야 5월 2일 경교장에서 이승만, 김구, 조소앙, 조완구, 이청천, 김창숙 등 국민의회 국무위원들과 독촉국민회 지방대표 여러 명이 모여 회담을 하였는데, 이승만의 '임정봉대가 필요할 시기가 올 때까지 보류하자'는 의견과 임시정부 일부요인의 '임정봉대가 필요하다'는 이견을 좁히지 못하였다.","{'word': '김창숙', 'start_idx': 86, 'end_idx': 88, 'entity_type': 'PER'}","{'word': '이승만', 'start_idx': 62, 'end_idx': 64, 'entity_type': 'PER'}",per:colleagues
한반도_57,"독도, 울릉도, 제주도는 모두 화산 활동을 통하여 생긴 섬들이다.","{'word': '독도', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'LOC'}","{'word': '제주도', 'start_idx': 9, 'end_idx': 11, 'entity_type': 'LOC'}",no_relation
문재인_212,"연말이 다가오면서 새정치민주연합은 분열조짐을 서서히 보이기 시작했고, 이 무렵 안철수를 필두로 한 ""신당 창당설""이 제기되었다. 하지만 문재인은 이에 대해 그런 일은 애초부터 없었다는 반응을 보였으며, 당의 혁신을 위해 노력하겠다는 입장을 밝혔다.","{'word': '안철수', 'start_idx': 44, 'end_idx': 46, 'entity_type': 'PER'}","{'word': '새정치민주연합', 'start_idx': 10, 'end_idx': 16, 'entity_type': 'ORG'}",no_relation
문재인_118,"정현백 여성가족부 장관은 홍대 몰카 수사가 '편파 수사'라는 집회 현장에 다녀온 전적이 논란이 되었고, 그 이전에는 여성 비하 논란이 있는 탁현민 청와대 행정관의 경질을 건의해 문재인 대통령 지지자들로부터 비판을 받은 바 있다.","{'word': '정현백', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'PER'}","{'word': '여성가족부 장관', 'start_idx': 4, 'end_idx': 11, 'entity_type': 'POH'}",per:title
한반도_29,"백두산 일대에는 백두산 외에도 대연지봉(大脂峰:2,358m)·소연지봉(小脂峰:2,115m)·간백산(間白山:2,162m)·소백산(小白山:2,172m)·북포태산(北胞胎山:2,288m)·두류산(頭流山:2,309m) 등의 화산들이 있다.","{'word': '백두산', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'LOC'}","{'word': '간백산', 'start_idx': 51, 'end_idx': 53, 'entity_type': 'LOC'}",loc:subordinate
이승만3_260,"김성수는 이범석에게 한민당 전원이 이범석 국무총리 인준에 동의하는 조건으로 내각의 8석을 요구했고, 이범석은 그 제의를 수용하였다.","{'word': '김성수', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'PER'}","{'word': '이범석', 'start_idx': 5, 'end_idx': 7, 'entity_type': 'PER'}",no_relation
대한민국4_25,"2000년 이후 자신이 게이임을 커밍아웃한 홍석천을 시작으로 트랜스젠더인 하리수, 이시연 등의 공개적 활동 등으로 성소수자들에 대한 맹목적 거부감이 사회적으로 서서히 사라지기 시작하였다.","{'word': '홍석천', 'start_idx': 24, 'end_idx': 26, 'entity_type': 'PER'}","{'word': '2000년 이후', 'start_idx': 0, 'end_idx': 7, 'entity_type': 'DAT'}",no_relation
박근혜1_34,"2013년 4월 24일, 중국 외교부장이 윤병세 대한민국 외교부 장관을 만났으며, ""관련국들이 적극적인 조치를 내놓아 문제를 대화와 협상의 궤도로 돌려놓아야 한다""고 강조했다.","{'word': '윤병세', 'start_idx': 23, 'end_idx': 25, 'entity_type': 'PER'}","{'word': '대한민국 외교부 장관', 'start_idx': 27, 'end_idx': 37, 'entity_type': 'POH'}",per:title
대한민국1_36,"인골 화석으로는 충청북도 단양군 상시굴과 두루봉동굴, 제천시 점말굴 등에서 현생인류로 추정되는 사람 뼈 화석이 발견된 바 있다.","{'word': '제천시', 'start_idx': 30, 'end_idx': 32, 'entity_type': 'LOC'}","{'word': '점말굴', 'start_idx': 34, 'end_idx': 36, 'entity_type': 'LOC'}",loc:subordinate
대한민국1_16,"중화인민공화국, 중화민국, 일본, 베트남 등 주로 동아시아에 있는 한자 문화권 국가들에서도 일상에서 대한민국을 간단히 한국(, , )이라 부른다.","{'word': '동아시아', 'start_idx': 28, 'end_idx': 31, 'entity_type': 'LOC'}","{'word': '중화인민공화국', 'start_idx': 0, 'end_idx': 6, 'entity_type': 'LOC'}",loc:subordinate
한반도_5,"한편 고구려의 멸망으로부터 약 30여년이 지났을 때, 고구려 출신 장수였던 대조영은 고구려 유민들, 말갈 세력과 함께 한반도 북부-만주-연해주 일대에 발해를 건국했다.","{'word': '대조영', 'start_idx': 42, 'end_idx': 44, 'entity_type': 'PER'}","{'word': '고구려', 'start_idx': 30, 'end_idx': 32, 'entity_type': 'ORG'}",per:origin
