id,sentence,subject_entity,object_entity,label
이승만3_104,"12월 1일에는 김구는 소련의 방해가 제거되기까지 북한의 의석을 남겨놓고 선거를 하는 조건이라면, ""이승만 박사가 주장하는 정부는 결국에 내가 주장하는 정부와 같은 것""이라고 말했다.","{'word': '이승만', 'start_idx': 56, 'end_idx': 58, 'entity_type': 'PER'}","{'word': '박사', 'start_idx': 60, 'end_idx': 61, 'entity_type': 'POH'}",per:title
문재인_30,"김상곤 사회부총리 겸 교육부 장관의 후임으로 유은혜 더불어민주당 의원, 송영무 국방부 장관의 후임으로 정경두 합동참모본부 의장을 발탁했다.","{'word': '유은혜', 'start_idx': 25, 'end_idx': 27, 'entity_type': 'PER'}","{'word': '더불어민주당', 'start_idx': 29, 'end_idx': 34, 'entity_type': 'ORG'}",per:employee_of
대한민국5_19,"또한 2012년에는 싸이(박재상)의 ""강남스타일(Gangnam Style)""로 세계에 강남스타일 열풍을 불러일으켰으며, 이 노래는 원더걸스의 Nobody 이후, 미국 빌보드 차트에 2위까지 올랐다.","{'word': '강남스타일', 'start_idx': 48, 'end_idx': 52, 'entity_type': 'POH'}","{'word': '2012년', 'start_idx': 3, 'end_idx': 7, 'entity_type': 'DAT'}",event/artifact:date
윤석열_4,"노무현 정부의 국무총리였던 한덕수를 국무총리로 임명하였고, 추경호 의원을 경제부총리 겸 기획재정부 장관으로 임명하였으며, 한동훈을 법무부 장관으로 임명하였다.","{'word': '한덕수', 'start_idx': 15, 'end_idx': 17, 'entity_type': 'PER'}","{'word': '노무현 정부', 'start_idx': 0, 'end_idx': 5, 'entity_type': 'ORG'}",per:employee_of
박정희_10,"1963년 대한민국 제5대 대통령 선거 당시 원용덕은 윤보선, 송요찬, 자민당계의 박정희에 대한 사상공격은 사실무근이라고 말했다.","{'word': '박정희', 'start_idx': 46, 'end_idx': 48, 'entity_type': 'PER'}","{'word': '자민당계', 'start_idx': 40, 'end_idx': 43, 'entity_type': 'ORG'}",per:employee_of
대한민국2_39,"더구나 2014년 4월 세월호 참사와 2015년 메르스 사태 등 국가적 재난 대책에 미숙한 모습을 드러내었으며, 창조경제와 노동개혁, 국정교과서 추진, 한일 위안부 합의 등 여러 정책에 대해 사회적 비판과 갈등을 겪었다.","{'word': '세월호 참사', 'start_idx': 13, 'end_idx': 18, 'entity_type': 'EVT'}","{'word': '2014년 4월', 'start_idx': 4, 'end_idx': 11, 'entity_type': 'DAT'}",event/artifact:date
윤석열_36,"노무현 정부의 국무총리였던 한덕수를 국무총리로 임명하였고, 추경호 의원을 경제부총리 겸 기획재정부 장관으로 임명하였으며, 한동훈을 법무부 장관으로 임명하였다.","{'word': '추경호', 'start_idx': 33, 'end_idx': 35, 'entity_type': 'PER'}","{'word': '의원', 'start_idx': 37, 'end_idx': 38, 'entity_type': 'POH'}",per:title
이승만3_79,"1946년 3월 20일 민주의원 총리 김구와 부의장 김규식은 창덕궁 인정전에 있는 민주의원 본부에서 기자회견을 가졌는데, 이 자리에서 김규식은 ""미소공동위원회는 우리의 운명을 장악하느니만치 우리는 힘을 합하여 미소공위가 성공되게끔 협력해야 된다""고 말했다.","{'word': '김구', 'start_idx': 21, 'end_idx': 22, 'entity_type': 'PER'}","{'word': '민주의원 총리', 'start_idx': 13, 'end_idx': 19, 'entity_type': 'POH'}",per:title
대한민국3_5,"대한민국 해병대는 1949년 4월 15일 경상남도 진해시에서 초대 지휘관에 신현준 중령이 임명되고, 해군 장교 26명, 부사관 54명, 병 300명으로 창설되었다.","{'word': '신현준', 'start_idx': 42, 'end_idx': 44, 'entity_type': 'PER'}","{'word': '1949년 4월 15일', 'start_idx': 10, 'end_idx': 21, 'entity_type': 'DAT'}",per:inauguration/removal_date
문재인_64,진보정의당의 심상정 대선 후보도 후보 등록을 앞두고 문재인 지지를 선언하며 대선 후보직을 사퇴하였다.,"{'word': '심상정', 'start_idx': 7, 'end_idx': 9, 'entity_type': 'PER'}","{'word': '대선 후보', 'start_idx': 42, 'end_idx': 46, 'entity_type': 'POH'}",per:title
